#ies_format_version: 1.0
#file: 20250819_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250819;	122620;	1755586580.000;	         327
20250819;	122624;	1755586584.000;	         331
20250819;	122628;	1755586588.000;	         335
20250819;	122632;	1755586592.000;	         339
20250819;	122636;	1755586596.000;	         343
20250819;	122640;	1755586600.000;	         347
20250819;	122644;	1755586604.000;	         351
20250819;	122648;	1755586608.000;	         355
20250819;	122652;	1755586612.000;	         359
20250819;	122656;	1755586616.000;	         363
20250819;	122700;	1755586620.000;	         367
20250819;	122704;	1755586624.000;	         371
20250819;	122708;	1755586628.000;	         375
20250819;	122712;	1755586632.000;	         379
20250819;	122716;	1755586636.000;	         383
20250819;	122720;	1755586640.000;	         387
20250819;	122724;	1755586644.000;	         391
20250819;	122728;	1755586648.000;	         395
20250819;	122732;	1755586652.000;	         399
20250819;	122736;	1755586656.000;	         403
20250819;	122740;	1755586660.000;	         407
20250819;	122744;	1755586664.000;	         411
20250819;	122748;	1755586668.000;	         415
20250819;	122752;	1755586672.000;	         419
20250819;	122756;	1755586676.000;	         423
20250819;	122800;	1755586680.000;	         427
20250819;	122804;	1755586684.000;	         431
20250819;	122808;	1755586688.000;	         435
20250819;	122812;	1755586692.000;	         439
20250819;	122816;	1755586696.000;	         443
20250819;	122820;	1755586700.000;	         447
20250819;	122824;	1755586704.000;	         451
20250819;	122828;	1755586708.000;	         455
20250819;	122832;	1755586712.000;	         459
20250819;	122836;	1755586716.000;	         463
20250819;	122840;	1755586720.000;	         467
20250819;	122844;	1755586724.000;	         471
20250819;	122848;	1755586728.000;	         475
20250819;	122852;	1755586732.000;	         479
20250819;	122856;	1755586736.000;	         483
20250819;	122900;	1755586740.000;	         487
20250819;	122904;	1755586744.000;	         491
20250819;	122908;	1755586748.000;	         495
20250819;	122912;	1755586752.000;	         499
20250819;	122916;	1755586756.000;	         503
20250819;	122920;	1755586760.000;	         507
20250819;	122924;	1755586764.000;	         511
20250819;	122928;	1755586768.000;	         515
20250819;	122932;	1755586772.000;	         519
20250819;	122936;	1755586776.000;	         523
20250819;	122940;	1755586780.000;	         527
20250819;	122944;	1755586784.000;	         531
20250819;	122948;	1755586788.000;	         535
20250819;	122952;	1755586792.000;	         539
20250819;	122956;	1755586796.000;	         543
20250819;	123000;	1755586800.000;	         547
20250819;	123004;	1755586804.000;	         551
20250819;	123008;	1755586808.000;	         555
20250819;	123012;	1755586812.000;	         559
20250819;	123016;	1755586816.000;	         563
20250819;	123020;	1755586820.000;	         567
20250819;	123024;	1755586824.000;	         571
20250819;	123028;	1755586828.000;	         575
20250819;	123032;	1755586832.000;	       err32
20250819;	123036;	1755586836.000;	       err32
20250819;	123040;	1755586840.000;	       err32
20250819;	123044;	1755586844.000;	       err32
20250819;	123048;	1755586848.000;	       err32
20250819;	123052;	1755586852.000;	       err32
20250819;	123056;	1755586856.000;	       err32
20250819;	123100;	1755586860.000;	       err32
20250819;	123104;	1755586864.000;	       err32
20250819;	123108;	1755586868.000;	       err32
20250819;	123112;	1755586872.000;	       err32
20250819;	123116;	1755586876.000;	       err32
20250819;	123120;	1755586880.000;	       err32
20250819;	123124;	1755586884.000;	       err32
20250819;	123128;	1755586888.000;	       err32
20250819;	123132;	1755586892.000;	       err32
20250819;	123136;	1755586896.000;	       err32
20250819;	123140;	1755586900.000;	       err32
20250819;	123144;	1755586904.000;	       err32
20250819;	123148;	1755586908.000;	       err32
20250819;	123152;	1755586912.000;	       err32
20250819;	123156;	1755586916.000;	       err32
20250819;	123200;	1755586920.000;	       err32
20250819;	123204;	1755586924.000;	       err32
20250819;	123208;	1755586928.000;	       err32
20250819;	123212;	1755586932.000;	       err32
20250819;	123216;	1755586936.000;	       err32
20250819;	123220;	1755586940.000;	       err32
20250819;	123224;	1755586944.000;	       err32
20250819;	123228;	1755586948.000;	       err32
20250819;	123232;	1755586952.000;	       err32
20250819;	123236;	1755586956.000;	       err32
20250819;	123240;	1755586960.000;	       err32
20250819;	123244;	1755586964.000;	       err32
20250819;	123248;	1755586968.000;	       err32
20250819;	123252;	1755586972.000;	       err32
20250819;	123256;	1755586976.000;	       err32
20250819;	123300;	1755586980.000;	       err32
20250819;	123304;	1755586984.000;	       err32
20250819;	123308;	1755586988.000;	       err32
20250819;	123312;	1755586992.000;	       err32
20250819;	123316;	1755586996.000;	       err32
20250819;	123320;	1755587000.000;	       err32
20250819;	123324;	1755587004.000;	       err32
20250819;	123328;	1755587008.000;	       err32
20250819;	123332;	1755587012.000;	       err32
20250819;	123336;	1755587016.000;	       err32
20250819;	123340;	1755587020.000;	       err32
20250819;	123344;	1755587024.000;	       err32
20250819;	123348;	1755587028.000;	       err32
20250819;	123352;	1755587032.000;	       err32
20250819;	123356;	1755587036.000;	       err32
20250819;	123400;	1755587040.000;	       err32
20250819;	123404;	1755587044.000;	       err32
20250819;	123408;	1755587048.000;	       err32
20250819;	123412;	1755587052.000;	       err32
20250819;	123416;	1755587056.000;	       err32
20250819;	123420;	1755587060.000;	       err32
20250819;	123424;	1755587064.000;	       err32
20250819;	123428;	1755587068.000;	       err32
20250819;	123432;	1755587072.000;	       err32
20250819;	123436;	1755587076.000;	       err32
20250819;	123440;	1755587080.000;	       err32
20250819;	123444;	1755587084.000;	       err32
20250819;	123448;	1755587088.000;	       err32
20250819;	123452;	1755587092.000;	       err32
20250819;	123456;	1755587096.000;	       err32
20250819;	123500;	1755587100.000;	       err32
20250819;	123504;	1755587104.000;	       err32
20250819;	123508;	1755587108.000;	       err32
20250819;	123512;	1755587112.000;	       err32
20250819;	123516;	1755587116.000;	       err32
20250819;	123520;	1755587120.000;	       err32
20250819;	123524;	1755587124.000;	       err32
20250819;	123528;	1755587128.000;	       err32
20250819;	123532;	1755587132.000;	       err32
20250819;	123536;	1755587136.000;	       err32
20250819;	123540;	1755587140.000;	       err32
20250819;	123544;	1755587144.000;	       err32
20250819;	123548;	1755587148.000;	       err32
20250819;	123552;	1755587152.000;	       err32
20250819;	123556;	1755587156.000;	       err32
20250819;	123600;	1755587160.000;	       err32
20250819;	123604;	1755587164.000;	       err32
20250819;	123608;	1755587168.000;	       err32
20250819;	123612;	1755587172.000;	       err32
20250819;	123616;	1755587176.000;	       err32
20250819;	123620;	1755587180.000;	       err32
20250819;	123624;	1755587184.000;	       err32
20250819;	123628;	1755587188.000;	       err32
20250819;	123632;	1755587192.000;	       err32
20250819;	123636;	1755587196.000;	       err32
20250819;	123640;	1755587200.000;	       err32
20250819;	123644;	1755587204.000;	       err32
20250819;	123648;	1755587208.000;	       err32
20250819;	123652;	1755587212.000;	       err32
20250819;	123656;	1755587216.000;	       err32
20250819;	123700;	1755587220.000;	       err32
20250819;	123704;	1755587224.000;	       err32
20250819;	123708;	1755587228.000;	       err32
20250819;	123712;	1755587232.000;	       err32
20250819;	123716;	1755587236.000;	       err32
20250819;	123720;	1755587240.000;	       err32
20250819;	123724;	1755587244.000;	       err32
20250819;	123728;	1755587248.000;	       err32
