#ies_format_version: 1.0
#file: 20250820_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250820;	103220;	1755666140.000;	          65
20250820;	103224;	1755666144.000;	          69
20250820;	103228;	1755666148.000;	          73
20250820;	103232;	1755666152.000;	          77
20250820;	103236;	1755666156.000;	          81
20250820;	103240;	1755666160.000;	          85
20250820;	103244;	1755666164.000;	          89
20250820;	103248;	1755666168.000;	          93
20250820;	103252;	1755666172.000;	          97
20250820;	103256;	1755666176.000;	         101
20250820;	103300;	1755666180.000;	         105
20250820;	103304;	1755666184.000;	         109
20250820;	103308;	1755666188.000;	         113
20250820;	103312;	1755666192.000;	         117
20250820;	103316;	1755666196.000;	         121
20250820;	103320;	1755666200.000;	         125
20250820;	103324;	1755666204.000;	         129
20250820;	103328;	1755666208.000;	         133
20250820;	103332;	1755666212.000;	         137
20250820;	103336;	1755666216.000;	         141
20250820;	103340;	1755666220.000;	         145
20250820;	103344;	1755666224.000;	         149
20250820;	103348;	1755666228.000;	         153
20250820;	103352;	1755666232.000;	         157
20250820;	103356;	1755666236.000;	         161
20250820;	103400;	1755666240.000;	         165
20250820;	103404;	1755666244.000;	         169
20250820;	103408;	1755666248.000;	         173
20250820;	103412;	1755666252.000;	         177
20250820;	103416;	1755666256.000;	         181
20250820;	103420;	1755666260.000;	         185
20250820;	103424;	1755666264.000;	         189
20250820;	103428;	1755666268.000;	         193
20250820;	103432;	1755666272.000;	         197
20250820;	103436;	1755666276.000;	         201
20250820;	103440;	1755666280.000;	         205
20250820;	103444;	1755666284.000;	         209
20250820;	103448;	1755666288.000;	         213
20250820;	103452;	1755666292.000;	         217
20250820;	103456;	1755666296.000;	         221
20250820;	103500;	1755666300.000;	         225
20250820;	103504;	1755666304.000;	         229
20250820;	103508;	1755666308.000;	         233
20250820;	103512;	1755666312.000;	         237
20250820;	103516;	1755666316.000;	         241
20250820;	103520;	1755666320.000;	         245
20250820;	103524;	1755666324.000;	         249
20250820;	103528;	1755666328.000;	         253
20250820;	103532;	1755666332.000;	         257
20250820;	103536;	1755666336.000;	         261
20250820;	103540;	1755666340.000;	         265
20250820;	103544;	1755666344.000;	         269
20250820;	103548;	1755666348.000;	         273
20250820;	103552;	1755666352.000;	         277
20250820;	103556;	1755666356.000;	         281
20250820;	103600;	1755666360.000;	         285
20250820;	103604;	1755666364.000;	         289
20250820;	103608;	1755666368.000;	         293
20250820;	103612;	1755666372.000;	         297
20250820;	103616;	1755666376.000;	         301
20250820;	103620;	1755666380.000;	         305
20250820;	103624;	1755666384.000;	         309
20250820;	103628;	1755666388.000;	         313
20250820;	103632;	1755666392.000;	         317
20250820;	103636;	1755666396.000;	         321
20250820;	103640;	1755666400.000;	         325
20250820;	103644;	1755666404.000;	         329
20250820;	103648;	1755666408.000;	         333
20250820;	103652;	1755666412.000;	         337
20250820;	103656;	1755666416.000;	         341
20250820;	103700;	1755666420.000;	         345
20250820;	103704;	1755666424.000;	         349
20250820;	103708;	1755666428.000;	         353
20250820;	103712;	1755666432.000;	         357
20250820;	103716;	1755666436.000;	         361
20250820;	103720;	1755666440.000;	         365
20250820;	103724;	1755666444.000;	         369
20250820;	103728;	1755666448.000;	         373
20250820;	103732;	1755666452.000;	         377
20250820;	103736;	1755666456.000;	         381
20250820;	103740;	1755666460.000;	         385
20250820;	103744;	1755666464.000;	         389
20250820;	103748;	1755666468.000;	         393
20250820;	103752;	1755666472.000;	         397
20250820;	103756;	1755666476.000;	         401
20250820;	103800;	1755666480.000;	         405
20250820;	103804;	1755666484.000;	         409
20250820;	103808;	1755666488.000;	         413
20250820;	103812;	1755666492.000;	         417
20250820;	103816;	1755666496.000;	         421
20250820;	103820;	1755666500.000;	         425
20250820;	103824;	1755666504.000;	         429
20250820;	103828;	1755666508.000;	         433
20250820;	103832;	1755666512.000;	         437
20250820;	103836;	1755666516.000;	         441
20250820;	103840;	1755666520.000;	         445
20250820;	103844;	1755666524.000;	         449
20250820;	103848;	1755666528.000;	         453
20250820;	103852;	1755666532.000;	         457
20250820;	103856;	1755666536.000;	         461
20250820;	103900;	1755666540.000;	         465
20250820;	103904;	1755666544.000;	         469
20250820;	103908;	1755666548.000;	         473
20250820;	103912;	1755666552.000;	         477
20250820;	103916;	1755666556.000;	         481
20250820;	103920;	1755666560.000;	         485
20250820;	103924;	1755666564.000;	         489
20250820;	103928;	1755666568.000;	         493
20250820;	103932;	1755666572.000;	         497
20250820;	103936;	1755666576.000;	         501
20250820;	103940;	1755666580.000;	         505
20250820;	103944;	1755666584.000;	         509
20250820;	103948;	1755666588.000;	         513
20250820;	103952;	1755666592.000;	         517
20250820;	103956;	1755666596.000;	         521
20250820;	104000;	1755666600.000;	         525
20250820;	104004;	1755666604.000;	         529
20250820;	104008;	1755666608.000;	         533
20250820;	104012;	1755666612.000;	         537
20250820;	104016;	1755666616.000;	         541
20250820;	104020;	1755666620.000;	         545
20250820;	104024;	1755666624.000;	       err32
20250820;	104028;	1755666628.000;	       err32
20250820;	104032;	1755666632.000;	       err32
20250820;	104036;	1755666636.000;	       err32
20250820;	104040;	1755666640.000;	       err32
20250820;	104044;	1755666644.000;	       err32
20250820;	104048;	1755666648.000;	       err32
20250820;	104052;	1755666652.000;	       err32
20250820;	104056;	1755666656.000;	       err32
20250820;	104100;	1755666660.000;	       err32
20250820;	104104;	1755666664.000;	       err32
20250820;	104108;	1755666668.000;	       err32
20250820;	104112;	1755666672.000;	       err32
20250820;	104116;	1755666676.000;	       err32
20250820;	104120;	1755666680.000;	       err32
20250820;	104124;	1755666684.000;	       err32
20250820;	104128;	1755666688.000;	       err32
20250820;	104132;	1755666692.000;	       err32
20250820;	104136;	1755666696.000;	       err32
20250820;	104140;	1755666700.000;	       err32
20250820;	104144;	1755666704.000;	       err32
20250820;	104148;	1755666708.000;	       err32
20250820;	104152;	1755666712.000;	       err32
20250820;	104156;	1755666716.000;	       err32
20250820;	104200;	1755666720.000;	       err32
20250820;	104204;	1755666724.000;	       err32
20250820;	104208;	1755666728.000;	       err32
20250820;	104212;	1755666732.000;	       err32
20250820;	104216;	1755666736.000;	       err32
20250820;	104220;	1755666740.000;	       err32
20250820;	104224;	1755666744.000;	       err32
20250820;	104228;	1755666748.000;	       err32
20250820;	104232;	1755666752.000;	       err32
20250820;	104236;	1755666756.000;	       err32
20250820;	104240;	1755666760.000;	       err32
20250820;	104244;	1755666764.000;	       err32
20250820;	104248;	1755666768.000;	       err32
20250820;	104252;	1755666772.000;	       err32
20250820;	104256;	1755666776.000;	       err32
20250820;	104300;	1755666780.000;	       err32
20250820;	104304;	1755666784.000;	       err32
20250820;	104308;	1755666788.000;	       err32
20250820;	104312;	1755666792.000;	       err32
20250820;	104316;	1755666796.000;	       err32
20250820;	104320;	1755666800.000;	       err32
20250820;	104324;	1755666804.000;	       err32
20250820;	104328;	1755666808.000;	       err32
20250820;	104332;	1755666812.000;	       err32
20250820;	104336;	1755666816.000;	       err32
20250820;	104340;	1755666820.000;	       err32
20250820;	104344;	1755666824.000;	       err32
20250820;	104348;	1755666828.000;	       err32
20250820;	104352;	1755666832.000;	       err32
20250820;	104356;	1755666836.000;	       err32
20250820;	104400;	1755666840.000;	       err32
20250820;	104404;	1755666844.000;	       err32
20250820;	104408;	1755666848.000;	       err32
20250820;	104412;	1755666852.000;	       err32
20250820;	104416;	1755666856.000;	       err32
20250820;	104420;	1755666860.000;	       err32
20250820;	104424;	1755666864.000;	       err32
20250820;	104428;	1755666868.000;	       err32
20250820;	104432;	1755666872.000;	       err32
20250820;	104436;	1755666876.000;	       err32
20250820;	104440;	1755666880.000;	       err32
20250820;	104444;	1755666884.000;	       err32
20250820;	104448;	1755666888.000;	       err32
20250820;	104452;	1755666892.000;	       err32
20250820;	104456;	1755666896.000;	       err32
20250820;	104500;	1755666900.000;	       err32
20250820;	104504;	1755666904.000;	       err32
20250820;	104508;	1755666908.000;	       err32
20250820;	104512;	1755666912.000;	       err32
20250820;	104516;	1755666916.000;	       err32
20250820;	104520;	1755666920.000;	       err32
20250820;	104524;	1755666924.000;	       err32
20250820;	104528;	1755666928.000;	       err32
20250820;	104532;	1755666932.000;	       err32
20250820;	104536;	1755666936.000;	       err32
20250820;	104540;	1755666940.000;	       err32
20250820;	104544;	1755666944.000;	       err32
20250820;	104548;	1755666948.000;	       err32
20250820;	104552;	1755666952.000;	       err32
20250820;	104556;	1755666956.000;	       err32
20250820;	104600;	1755666960.000;	       err32
20250820;	104604;	1755666964.000;	       err32
20250820;	104608;	1755666968.000;	       err32
20250820;	104612;	1755666972.000;	       err32
20250820;	104616;	1755666976.000;	       err32
20250820;	104620;	1755666980.000;	       err32
20250820;	104624;	1755666984.000;	       err32
20250820;	104628;	1755666988.000;	       err32
20250820;	104632;	1755666992.000;	       err32
20250820;	104636;	1755666996.000;	       err32
20250820;	104640;	1755667000.000;	       err32
20250820;	104644;	1755667004.000;	       err32
20250820;	104648;	1755667008.000;	       err32
20250820;	104652;	1755667012.000;	       err32
20250820;	104656;	1755667016.000;	       err32
20250820;	104700;	1755667020.000;	       err32
20250820;	104704;	1755667024.000;	       err32
20250820;	104708;	1755667028.000;	       err32
20250820;	104712;	1755667032.000;	       err32
20250820;	104716;	1755667036.000;	       err32
20250820;	104720;	1755667040.000;	       err32
20250820;	104724;	1755667044.000;	       err32
20250820;	104728;	1755667048.000;	        err7
20250820;	104732;	1755667052.000;	         962
20250820;	104736;	1755667056.000;	         966
20250820;	104740;	1755667060.000;	         970
20250820;	104744;	1755667064.000;	         974
20250820;	104748;	1755667068.000;	         978
20250820;	104752;	1755667072.000;	         982
20250820;	104756;	1755667076.000;	         986
20250820;	104800;	1755667080.000;	         990
